file	has_script_setup	has_template	has_scoped_style	directives	uses_pinia	uses_axios	has_props_emit	assessment
src/components/prototypes/InventoryCard.vue	false	true	true	v-if,v-bind(:shorthand),v-on(@shorthand)	false	false	true	COMPLIANT
src/modules/awg/AwgView.vue	true	true	false	v-if,v-for,v-bind(:shorthand)	false	false	false	COMPLIANT
src/modules/length/LengthView.vue	true	true	false	v-if,v-for,v-bind(:shorthand)	false	false	false	COMPLIANT
src/modules/numberSystem/NumberSystemView.vue	true	true	false	v-if,v-for,v-bind(:shorthand)	false	false	false	COMPLIANT
src/modules/ohmsLaw/OhmsLawView.vue	true	true	false	v-if,v-for,v-bind(:shorthand)	false	false	false	COMPLIANT
src/modules/resistorColor/ResistorColorView.vue	true	true	true	v-if,v-for,v-model,v-bind(:shorthand),v-on(@shorthand)	false	false	false	COMPLIANT
src/modules/smdCapacitor/SmdCapacitorView.vue	true	true	true	v-for,v-model,v-bind(:shorthand),v-on(@shorthand)	false	false	false	COMPLIANT
src/modules/smdResistor/SmdResistorView.vue	true	true	true	v-model,v-bind(:shorthand),v-on(@shorthand)	false	false	false	COMPLIANT
src/modules/temperature/TemperatureView.vue	true	true	false	v-if,v-for,v-bind(:shorthand)	false	false	false	COMPLIANT
src/modules/timer555/Timer555View.vue	true	true	true	v-if,v-for,v-model,v-bind(:shorthand),v-on(@shorthand)	false	false	false	COMPLIANT
src/views/HomeView.vue	true	true	true		false	false	false	PARTIAL
src/views/InventoryUnified.vue	false	true	true	v-if,v-for,v-model,v-bind(:shorthand),v-on(@shorthand)	true	false	false	COMPLIANT
src/vue/components/admin/AdminToolbar.vue	true	true	true	v-if,v-on(@shorthand)	true	false	false	COMPLIANT
src/vue/components/admin/CategoryForm.vue	true	true	false	v-model	false	false	false	COMPLIANT
src/vue/components/admin/CategoryList.vue	true	true	false	v-for,v-bind(:shorthand),v-on(@shorthand)	false	false	false	COMPLIANT
src/vue/components/admin/CategoryManager.vue	true	true	true	v-if,v-for,v-bind(:shorthand)	false	false	false	COMPLIANT
src/vue/components/admin/ClientDetail.vue	true	true	true	v-if,v-for,v-model,v-bind(:shorthand),v-on(@shorthand)	false	false	false	COMPLIANT
src/vue/components/admin/ClientList.vue	true	true	true	v-if,v-for,v-bind(:shorthand),v-on(@shorthand)	false	false	true	COMPLIANT
src/vue/components/admin/DiagnosticsList.vue	true	true	false	v-for,v-bind(:shorthand),v-on(@shorthand)	false	false	false	COMPLIANT
src/vue/components/admin/InstrumentForm.vue	true	true	false	v-model	false	false	false	COMPLIANT
src/vue/components/admin/InstrumentList.vue	true	true	false	v-for,v-bind(:shorthand),v-on(@shorthand)	false	false	false	COMPLIANT
src/vue/components/admin/IntakeForm.vue	true	true	true	v-model,v-bind(:shorthand),v-on(@shorthand)	false	false	false	COMPLIANT
src/vue/components/admin/InventoryAlerts.vue	true	true	true	v-if,v-for,v-bind(:shorthand)	false	false	false	COMPLIANT
src/vue/components/admin/InventoryForm.vue	true	true	true	v-if,v-for,v-model,v-bind(:shorthand),v-on(@shorthand)	false	false	true	COMPLIANT
src/vue/components/admin/InventoryStockSheet.vue	true	true	true	v-if,v-for,v-model,v-bind(:shorthand),v-on(@shorthand)	false	false	true	COMPLIANT
src/vue/components/admin/InventoryStockStates.vue	true	true	true	v-if,v-for,v-model,v-bind(:shorthand),v-on(@shorthand)	false	false	true	COMPLIANT
src/vue/components/admin/InventoryTable.vue	true	true	true	v-if,v-for,v-bind(:shorthand),v-on(@shorthand)	false	false	true	COMPLIANT
src/vue/components/admin/RepairForm.vue	true	true	false	v-for,v-model,v-bind(:shorthand)	false	false	false	COMPLIANT
src/vue/components/admin/RepairManager.vue	true	true	true	v-for,v-bind(:shorthand)	false	false	true	COMPLIANT
src/vue/components/admin/RepairStatusEditor.vue	true	true	true	v-for,v-bind(:shorthand),v-on(@shorthand)	false	false	true	COMPLIANT
src/vue/components/admin/RepairsList.vue	true	true	true	v-if,v-for,v-model,v-bind(:shorthand),v-on(@shorthand)	false	false	false	COMPLIANT
